,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,1.0,0.32980558,0.13972409,0.6810995,0.4069764,0.43713447,0.5156559,0.19571668,0.6401654,0.4483225,0.46027023,0.493605,0.23746786,0.7799178,0.4078804,0.30111173,0.40082067,0.44593924,0.1403963,0.3075158,0.32825944,0.25195608,0.47693923,0.1310697,0.31411043,0.18770693,0.4695732,0.42191863,0.21488728,0.5820367,0.14626552,0.78781605,0.34313443,0.1761086,0.2875314,0.7720371,0.19060898,0.7163701,0.7670344,0.43471712,0.3403911,0.3359553,0.41522482,0.36184332,0.21366304,0.09879421,0.5096027,0.5852636,0.35597208,0.35514605,0.71788055,0.69077504,0.36645374,0.6845963,0.19949037,0.53225714,0.67036015,0.6463599,0.74326247,0.19044639,0.4535582,0.76477134,0.394226,0.6316248
1,0.32980558,1.0,0.32833216,0.31893688,0.5826656,0.47323003,0.6233916,0.61129266,0.62085813,0.6238515,0.58864605,0.5243819,0.51090014,0.39803866,0.35423705,0.5075453,0.557502,0.49866593,0.5168121,0.59230953,0.76252043,0.44761014,0.5397627,0.36307916,0.6005772,0.62793565,0.5752307,0.60269845,0.42395547,0.30510426,0.49021846,0.36111328,0.6024333,0.5873397,0.67931026,0.2667405,0.48496997,0.43702513,0.3908108,0.6376842,0.41256535,0.5775751,0.5419924,0.6087522,0.57944787,0.24155755,0.7260355,0.27405235,0.55374223,0.5399043,0.42881808,0.33873162,0.5113165,0.53445536,0.5883683,0.4175412,0.46834406,0.44317847,0.2593023,0.47344244,0.46114066,0.3548662,0.64440876,0.57374096
2,0.13972408,0.3283322,1.0,0.041423224,0.020852152,0.11874036,0.40040156,0.021063052,0.41496268,0.18655556,0.58503836,-0.016656179,0.6032863,0.09499848,0.13212164,0.63093597,0.64470565,0.14234261,-0.04001007,0.48188692,0.07019733,0.20325425,0.07256189,0.63552004,0.0051559634,0.067323916,0.39483842,0.11338728,0.8946073,0.053999584,0.83434856,0.08937595,0.087928645,0.08413031,0.6082457,0.035662346,-0.27113056,0.28662214,0.16485019,0.55041504,0.11019409,0.28344405,-0.100351274,0.15475307,0.092649594,0.8590751,0.30389243,-0.26982558,0.5023244,0.1448845,-0.04076047,0.387174,0.32197127,0.25463513,0.65420973,0.47016984,0.1717352,0.05232355,0.28733703,0.8308369,0.6091432,0.25283825,0.30430743,0.178271
3,0.68109953,0.31893688,0.041423224,1.0,0.5560287,0.2530276,0.36943147,0.21066898,0.425768,0.24372666,0.30630493,0.39301723,0.15339911,0.7556102,0.37798858,0.2208956,0.23820521,0.43030447,0.17767572,0.25712493,0.32450515,0.3444234,0.47138265,0.086761706,0.3252645,0.24932314,0.34631673,0.360932,0.09972156,0.7140861,0.08612153,0.466258,0.30569538,0.15619308,0.26188636,0.49351916,0.23296821,0.3974457,0.71718,0.15589343,0.28004456,0.27680412,0.49220434,0.3023492,0.21256232,0.03934296,0.4881973,0.44978943,0.18428554,0.18217535,0.42034808,0.29146627,0.47163224,0.5131603,0.13758275,0.2830681,0.44536856,0.49797487,0.5302801,0.12283079,0.24662645,0.47172403,0.29988483,0.51971984
4,0.4069764,0.5826656,0.020852152,0.5560287,1.0,0.445851,0.44840428,0.42919612,0.42616165,0.3891522,0.35890245,0.46309614,0.2782682,0.59906715,0.33716354,0.25613835,0.31030387,0.5706807,0.4318502,0.46550435,0.53500736,0.44206023,0.5941253,0.18462683,0.4732363,0.5080346,0.6222637,0.43894148,0.12575147,0.43354374,0.16056363,0.45369273,0.46599624,0.35657358,0.4227121,0.39282927,0.48318818,0.375259,0.40965602,0.38162553,0.3162733,0.41246694,0.66504157,0.41399845,0.33749267,-0.01080961,0.5910876,0.55198115,0.33987418,0.32992384,0.53815776,0.20917125,0.6208473,0.6318831,0.3452595,0.4123649,0.5471971,0.5990767,0.18151091,0.16222246,0.14034462,0.29050457,0.38793933,0.4970604
5,0.43713447,0.47323,0.11874036,0.25302756,0.445851,1.0,0.5843451,0.23719957,0.58927613,0.46933675,0.39666837,0.31866667,0.18521993,0.37657526,0.19844232,0.29964232,0.6144804,0.3243201,0.17950931,0.30397564,0.4068596,0.17780742,0.67158973,0.09230476,0.39393494,0.38805237,0.52977914,0.3408663,0.16340125,0.29224303,0.20757146,0.5541382,0.3158749,0.26783645,0.36332956,0.45594567,0.41654092,0.63672143,0.45292798,0.5793919,0.2202177,0.328489,0.3758212,0.26453942,0.32201707,-1.1156451e-05,0.49410653,0.48070893,0.49184498,0.4978306,0.6555703,0.58213305,0.18941149,0.5164071,0.31603336,0.4123319,0.537067,0.5611946,0.43674657,0.17942187,0.57634485,0.6722506,0.37366593,0.5509124
6,0.5156559,0.6233916,0.4004016,0.36943147,0.44840428,0.5843451,1.0,0.35282058,0.6263587,0.39617348,0.51660126,0.35539797,0.5203935,0.4678014,0.38290527,0.5701562,0.5908207,0.32260925,0.3403232,0.570796,0.47828278,0.35146976,0.43648428,0.44343197,0.46249965,0.30935675,0.5456776,0.40687492,0.45190594,0.32117733,0.47535336,0.4669216,0.2985191,0.26507425,0.5488277,0.45955554,0.31007677,0.5643766,0.518279,0.5719521,0.46630454,0.6338513,0.33935905,0.33116817,0.27446082,0.37945023,0.62206835,0.3614579,0.72117186,0.35190818,0.5434076,0.5377079,0.47128052,0.55935234,0.5510316,0.59567297,0.48713353,0.4106675,0.5224338,0.5038542,0.6423441,0.5465436,0.60717493,0.530871
7,0.19571668,0.61129266,0.021063052,0.210669,0.42919612,0.23719956,0.35282058,1.0,0.2217212,0.53204685,0.2102082,0.552978,0.26336756,0.22902265,0.25686556,0.113777265,0.17006135,0.29922158,0.7601248,0.3794206,0.54364526,0.22459073,0.39187682,0.14608373,0.7240484,0.69806325,0.22327518,0.6089614,0.064441144,0.3048907,0.14343102,0.14680432,0.5698122,0.69449216,0.34118906,0.14575249,0.657361,0.21408354,0.29920048,0.3875656,0.44299152,0.5009776,0.55579984,0.608255,0.7795553,0.010255676,0.4906949,0.277972,0.24778424,0.41990635,0.28035152,0.099146694,0.36484602,0.2598729,0.18411246,0.084304444,0.2268756,0.40652716,0.01139238,0.1753704,0.107300155,0.10455436,0.54097706,0.39273682
8,0.64016545,0.62085813,0.41496268,0.425768,0.42616162,0.58927613,0.6263587,0.2217212,1.0,0.56188524,0.8506985,0.3418732,0.3984308,0.6573107,0.45377514,0.55592984,0.716758,0.64588326,0.11748289,0.38342816,0.55369115,0.42786524,0.54987377,0.26993972,0.29584283,0.32348588,0.7361267,0.49915168,0.54447424,0.3000532,0.4046176,0.71897,0.45928815,0.22396313,0.5507292,0.5352767,0.1677108,0.7242694,0.56516314,0.71715206,0.28654122,0.38137478,0.31000018,0.49814287,0.24499263,0.28623837,0.6514287,0.34296286,0.5652646,0.46289465,0.665954,0.7255787,0.3281822,0.7267253,0.43887118,0.6216164,0.78825873,0.5337855,0.60613865,0.41653916,0.67370945,0.77848065,0.43909374,0.68914115
9,0.44832253,0.6238515,0.18655556,0.24372667,0.38915217,0.46933678,0.39617348,0.53204685,0.56188524,1.0,0.49721813,0.65108263,0.24955995,0.3776946,0.23502508,0.33762383,0.49210307,0.47054306,0.38679966,0.30974987,0.5220241,0.22570623,0.5087946,0.15102753,0.49183646,0.59181845,0.52661765,0.60828334,0.26059514,0.28852302,0.28049913,0.4700486,0.79036945,0.6395027,0.41508362,0.26586428,0.43165284,0.60153717,0.40512806,0.69233316,0.3021323,0.36036053,0.5288557,0.68719643,0.57175386,0.08828806,0.57973933,0.27911994,0.4528041,0.81422853,0.4830087,0.47300613,0.25697523,0.47222736,0.2931442,0.3259724,0.5722396,0.549479,0.32783264,0.28167862,0.41208684,0.470919,0.62116605,0.5847956
